kebele,year,seasonal_rainfall_total,onset_date,cessation_date,rainy_days_count,dry_spell_days,data_quality_flag,onset_delay_days,onset_threshold,rainy_day_threshold,dry_spell_threshold,rainfall_std_dev,rainfall_skewness,mean_temp_season,max_temp_avg,min_temp_avg,gdd_total,gdd_base_temp,heatwave_days,heatwave_threshold,mean_soil_moisture,dry_soil_days,dry_threshold,soil_moisture_std,ndvi_peak,ndvi_scale,ndvi_seasonal_avg,ndvi_start_of_season,ndvi_end_of_season,ndvi_integral,ndvi_threshold,ndvi_anomaly_avg,crop_Banana,crop_Bean,"crop_Bean, broad",crop_Carrot,crop_Chick-pea,"crop_Chilli, dry",crop_Coffee,"crop_Corn, sweet",crop_Enset,crop_Garlic,crop_Lentil,crop_Mandarin,crop_Mango,"crop_Mustard, Ethiopian",crop_Oil flax,crop_Onion,"crop_Pea, dry",crop_Rice,crop_Safflower,crop_Sesame,crop_Sorghum,crop_Soybean,crop_Sweet potato,crop_Teff,crop_Tomato,"crop_Wheat, Emmer","crop_Wheat, bread","crop_Wheat, durum"
95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2017,0.609827952125527,1.0,1,0.9203506292589488,1.0469928957896995,OK,1.0,0.4191602039337158,10.145720014572143,10.145720014572143,0.49704355045789733,-2.018628366780149,-1.1768458358268803,21.14736813631927,10.26919208873404,-0.6559067847115043,16.403233337402366,0.17401218448525424,23.67043304443361,-1.2980768784379946,-0.2798733006280835,2.304292631149292,0.3281479192065812,-2.579486403977286,0.3742988747454177,-2.003012224514791,0.0049,0.0321,-1.0062228518920242,0.2368426705702648,-0.8129543524775168,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2017,0.609827952125527,1.0,1,0.9203506292589488,1.0469928957896995,OK,1.0,0.4191602039337158,10.145720014572143,10.145720014572143,0.49704355045789733,-2.018628366780149,-1.1768458358268803,21.14736813631927,10.26919208873404,-0.6559067847115043,16.403233337402366,0.17401218448525424,23.67043304443361,-1.2980768784379946,-0.2798733006280835,2.304292631149292,0.3281479192065812,0.8700943115108503,0.5611773065173119,0.25359613463216035,0.0145,0.0321,0.35797834971536213,0.2977517820773931,-0.7619174669554258,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2017,0.609827952125527,1.0,1,0.9203506292589488,1.0469928957896995,OK,1.0,0.4191602039337158,10.145720014572143,10.145720014572143,0.49704355045789733,-2.018628366780149,-1.1768458358268803,21.14736813631927,10.26919208873404,-0.6559067847115043,16.403233337402366,0.17401218448525424,23.67043304443361,0.5814615342905562,0.5614484289548447,3.209576797485352,-0.7724045603438287,-2.579486403977286,0.3742988747454177,-2.003012224514791,0.0049,0.0321,-1.0062228518920242,0.2368426705702648,-0.8129543524775168,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2017,0.609827952125527,1.0,1,0.9203506292589488,1.0469928957896995,OK,1.0,0.4191602039337158,10.145720014572143,10.145720014572143,0.49704355045789733,-2.018628366780149,-1.1768458358268803,21.14736813631927,10.26919208873404,-0.6559067847115043,16.403233337402366,0.17401218448525424,23.67043304443361,0.5814615342905562,0.5614484289548447,3.209576797485352,-0.7724045603438287,0.8700943115108503,0.5611773065173119,0.25359613463216035,0.0145,0.0321,0.35797834971536213,0.2977517820773931,-0.7619174669554258,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2018,-0.3257950336033636,1.0,1,0.4921450575691676,-0.9652734994569463,OK,3.0,14.74773147583008,9.407750787734988,9.407750787734988,-0.7755784470205475,-0.5066071522842803,-0.04506629059338523,21.83077116816879,11.204535941618058,-0.3381460613677841,15.957148742675804,-0.36395157857944815,25.27449188232424,-0.4584033665618094,-0.2798733006280835,2.1229766607284546,0.3281479192065812,-0.4901805418190491,0.4874854429735237,-1.3872263121139612,0.0049,0.0321,-0.829756059531268,0.231720165478615,0.05984504648299733,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2018,-0.3257950336033636,1.0,1,0.4921450575691676,-0.9652734994569463,OK,3.0,14.74773147583008,9.407750787734988,9.407750787734988,-0.7755784470205475,-0.5066071522842803,-0.04506629059338523,21.83077116816879,11.204535941618058,-0.3381460613677841,15.957148742675804,-0.36395157857944815,25.27449188232424,-0.4584033665618094,-0.2798733006280835,2.1229766607284546,0.3281479192065812,-0.06884688640858713,0.5103108757637476,0.11171892128934435,0.0145,0.0321,0.30623181847795516,0.3259777281059063,-1.1809148117838657,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2018,-0.3257950336033636,1.0,1,0.4921450575691676,-0.9652734994569463,OK,3.0,14.74773147583008,9.407750787734988,9.407750787734988,-0.7755784470205475,-0.5066071522842803,-0.04506629059338523,21.83077116816879,11.204535941618058,-0.3381460613677841,15.957148742675804,-0.36395157857944815,25.27449188232424,0.5592093492377417,0.5614484289548447,3.6581369638443,-0.7724045603438287,-0.4901805418190491,0.4874854429735237,-1.3872263121139612,0.0049,0.0321,-0.829756059531268,0.231720165478615,0.05984504648299733,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2018,-0.3257950336033636,1.0,1,0.4921450575691676,-0.9652734994569463,OK,3.0,14.74773147583008,9.407750787734988,9.407750787734988,-0.7755784470205475,-0.5066071522842803,-0.04506629059338523,21.83077116816879,11.204535941618058,-0.3381460613677841,15.957148742675804,-0.36395157857944815,25.27449188232424,0.5592093492377417,0.5614484289548447,3.6581369638443,-0.7724045603438287,-0.06884688640858713,0.5103108757637476,0.11171892128934435,0.0145,0.0321,0.30623181847795516,0.3259777281059063,-1.1809148117838657,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2018,-0.3257950336033636,1.0,1,0.4921450575691676,-0.9652734994569463,OK,3.0,14.74773147583008,9.407750787734988,9.407750787734988,-0.7755784470205475,-0.5066071522842803,-0.9340270214546619,21.492685075239724,10.271170876242918,-0.27784835242715106,15.37153778076174,0.17401218448525424,24.57919158935549,-0.4584033665618094,-0.2798733006280835,2.1229766607284546,0.3281479192065812,-0.4901805418190491,0.4874854429735237,-1.3872263121139612,0.0049,0.0321,-0.829756059531268,0.231720165478615,0.05984504648299733,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2018,-0.3257950336033636,1.0,1,0.4921450575691676,-0.9652734994569463,OK,3.0,14.74773147583008,9.407750787734988,9.407750787734988,-0.7755784470205475,-0.5066071522842803,-0.9340270214546619,21.492685075239724,10.271170876242918,-0.27784835242715106,15.37153778076174,0.17401218448525424,24.57919158935549,-0.4584033665618094,-0.2798733006280835,2.1229766607284546,0.3281479192065812,-0.06884688640858713,0.5103108757637476,0.11171892128934435,0.0145,0.0321,0.30623181847795516,0.3259777281059063,-1.1809148117838657,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
