crop,region,kebele,year,ndvi_peak,ndvi_scale,ndvi_seasonal_avg,ndvi_start_of_season,ndvi_end_of_season,ndvi_integral,ndvi_threshold,ndvi_anomaly_avg
Safflower,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2025,0.3845474898167006,0.3845474898167006,0.3806765803207741,161,,1.5227063212830965,0.37864125305498997,-2.2137504883416925
Safflower,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2010,0.4882265242363038,0.4882265242363038,0.40305178048472606,97,,4.0305178048472605,0.3622356784902802,1.3364163811566423
Safflower,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2011,0.4556940261297654,0.4556940261297654,0.3323597942438778,81,,3.323597942438778,0.26691439346124707,-0.6880627261275547
Safflower,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2012,0.4466381248422114,0.4466381248422114,0.3191073757328396,97,,2.8719663815955565,0.2741291100732138,-1.0675858633778745
Safflower,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2013,0.4481116542539762,0.4481116542539762,0.3747701811411261,97,,3.747701811411261,0.3519334366321638,0.5264871368908135
Safflower,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2014,0.445771790583186,0.445771790583186,0.3124761847147716,97,,3.1247618471477163,0.27532108716023357,-1.2574900998602268
Safflower,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2015,0.4906689787932339,0.4906689787932339,0.33168020196919973,81,,3.3168020196919974,0.23887396743246658,-0.7075249089677715
Safflower,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2016,0.4722005932845241,0.4722005932845241,0.4132771872983815,113,,3.7194946856854334,0.38534117773289583,1.6292518715501068
Safflower,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2017,0.4061388790709418,0.4061388790709418,0.32822936379702095,65,,3.2822936379702097,0.27187565703105265,-0.8063501104325155
Safflower,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2018,0.4769323024488766,0.4769323024488766,0.34093479519060854,97,,3.4093479519060854,0.26519196225700586,-0.4424916057681234
