crop,region,kebele,year,mean_soil_moisture,dry_soil_days,dry_threshold,soil_moisture_std
"Wheat, bread",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2017,12.057704429157445,6,2.3236920833587646,3.6100212417565203
"Wheat, bread",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2018,14.283551600671583,7,2.1217482328414916,3.6100212417565203
"Wheat, bread",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2019,13.49042732292606,7,2.181535911560059,3.6100212417565203
"Wheat, bread",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2020,13.794889696182743,7,1.8244455218315128,3.6100212417565203
"Wheat, bread",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2021,8.88141529481919,6,2.0687623023986816,3.6100212417565203
"Wheat, bread",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2022,5.688926926830359,0,1.7824561595916748,3.6100212417565203
"Wheat, bread",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2015,15.905097274637933,7,2.8926671981811523,1.8621131998232279
"Wheat, bread",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2016,18.06621229470666,7,4.967145347595215,1.8621131998232279
"Wheat, bread",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2017,16.857465601679106,7,3.0565596103668216,1.8621131998232279
"Wheat, bread",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2018,16.359982588711908,7,3.522657370567322,1.8621131998232279
"Wheat, bread",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2019,17.37362815017131,7,4.205811786651611,1.8621131998232279
"Wheat, bread",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2020,17.6063216373102,7,3.931038284301758,1.8621131998232279
"Wheat, bread",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2021,14.730509560499618,7,2.9569099426269534,1.8621131998232279
"Wheat, bread",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2022,12.360123970929314,2,5.17686996459961,1.8621131998232279
"Wheat, bread",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2015,15.905097274637933,7,2.8926671981811523,1.8621131998232279
"Wheat, bread",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2016,18.06621229470666,7,4.967145347595215,1.8621131998232279
"Wheat, bread",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2017,16.857465601679106,7,3.0565596103668216,1.8621131998232279
"Wheat, bread",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2018,16.359982588711908,7,3.522657370567322,1.8621131998232279
"Wheat, bread",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2019,17.37362815017131,7,4.205811786651611,1.8621131998232279
"Wheat, bread",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2020,17.6063216373102,7,3.931038284301758,1.8621131998232279
"Wheat, bread",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2021,14.730509560499618,7,2.9569099426269534,1.8621131998232279
"Wheat, bread",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2022,12.360123970929314,2,5.17686996459961,1.8621131998232279
"Wheat, durum",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2015,15.36333415819251,5,2.308284878730774,3.6100212417565203
"Wheat, durum",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2016,16.68513786600482,7,2.8949519634246825,3.6100212417565203
"Wheat, durum",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2017,12.057704429157445,6,2.3236920833587646,3.6100212417565203
"Wheat, durum",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2018,14.283551600671583,7,2.1217482328414916,3.6100212417565203
"Wheat, durum",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2019,13.49042732292606,7,2.181535911560059,3.6100212417565203
"Wheat, durum",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2020,13.794889696182743,7,1.8244455218315128,3.6100212417565203
"Wheat, durum",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2021,8.88141529481919,6,2.0687623023986816,3.6100212417565203
"Wheat, durum",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2022,5.688926926830359,0,1.7824561595916748,3.6100212417565203
"Wheat, durum",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2015,15.36333415819251,5,2.308284878730774,3.6100212417565203
"Wheat, durum",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2016,16.68513786600482,7,2.8949519634246825,3.6100212417565203
"Wheat, durum",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2017,12.057704429157445,6,2.3236920833587646,3.6100212417565203
"Wheat, durum",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2018,14.283551600671583,7,2.1217482328414916,3.6100212417565203
"Wheat, durum",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2019,13.49042732292606,7,2.181535911560059,3.6100212417565203
"Wheat, durum",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2020,13.794889696182743,7,1.8244455218315128,3.6100212417565203
"Wheat, durum",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2021,8.88141529481919,6,2.0687623023986816,3.6100212417565203
"Wheat, durum",Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2022,5.688926926830359,0,1.7824561595916748,3.6100212417565203
"Wheat, durum",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2015,15.717256947739484,8,2.9011262893676752,2.6014258091435893
"Wheat, durum",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2016,17.91118054520594,8,5.182978820800781,2.6014258091435893
"Wheat, durum",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2017,16.632233880970578,8,3.2095767974853517,2.6014258091435893
"Wheat, durum",Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2018,16.565570251361745,8,3.6581369638442998,2.6014258091435893
