kebele,year,seasonal_rainfall_total,onset_date,cessation_date,rainy_days_count,dry_spell_days,data_quality_flag,onset_delay_days,onset_threshold,rainy_day_threshold,dry_spell_threshold,rainfall_std_dev,rainfall_skewness,mean_temp_season,max_temp_avg,min_temp_avg,gdd_total,gdd_base_temp,heatwave_days,heatwave_threshold,mean_soil_moisture,dry_soil_days,dry_threshold,soil_moisture_std,ndvi_peak,ndvi_scale,ndvi_seasonal_avg,ndvi_start_of_season,ndvi_end_of_season,ndvi_integral,ndvi_threshold,ndvi_anomaly_avg,crop_Banana,crop_Bean,"crop_Bean, broad",crop_Carrot,crop_Chick-pea,"crop_Chilli, dry",crop_Coffee,"crop_Corn, sweet",crop_Enset,crop_Garlic,crop_Lentil,crop_Mandarin,crop_Mango,"crop_Mustard, Ethiopian",crop_Oil flax,crop_Onion,"crop_Pea, dry",crop_Rice,crop_Safflower,crop_Sesame,crop_Sorghum,crop_Soybean,crop_Sweet potato,crop_Teff,crop_Tomato,"crop_Wheat, Emmer","crop_Wheat, bread","crop_Wheat, durum",crop,cluster
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2013,-0.1896192678290189,1,1,-0.0431119070430589,-0.9361102183664152,OK,0.0,0.0,11.189619064331056,11.189619064331056,-0.3322678925231085,-1.1532058036360573,-1.818516632458362,21.103587063876088,9.395212624289796,-0.6043137271741063,15.676727294921898,0.1740121844852542,23.945016479492203,0.2169747236624192,0.1407875641633806,2.8949519634246825,-0.0679312269392884,-2.471223907564666e-05,0.5006529348649329,-1.204110557600908e-05,1,1,-2.372925986822063e-05,0.3333322570058067,3.10272802387492e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"Wheat, durum",0
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2013,-0.1896192678290189,1,1,-0.0431119070430589,-0.9361102183664152,OK,0.0,0.0,11.189619064331056,11.189619064331056,-0.3322678925231085,-1.1532058036360573,-1.818516632458362,21.103587063876088,9.395212624289796,-0.6043137271741063,15.676727294921898,0.1740121844852542,23.945016479492203,0.2169747236624192,0.1407875641633806,2.8949519634246825,-0.0679312269392884,7.391825271877846e-05,0.5540852594041911,9.5982679727896e-05,1,1,6.155601430450926e-05,0.3430378439787934,6.733759095387889e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"Wheat, durum",0
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2013,0.2513652797814269,1,1,0.1709908788018316,0.5220538361601397,OK,36.0,15.66890573501587,11.189619064331056,11.189619064331056,0.6250907597364793,-1.9699515574962536,0.3969870979200907,22.57843199033997,11.089129473712015,-0.2816312080193118,16.565441894531272,-0.0949696970470969,26.36661376953128,0.2169747236624192,0.1407875641633806,2.8949519634246825,-0.0679312269392884,-2.471223907564666e-05,0.5006529348649329,-1.204110557600908e-05,1,1,-2.372925986822063e-05,0.3333322570058067,3.10272802387492e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"Wheat, durum",0
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2013,0.2513652797814269,1,1,0.1709908788018316,0.5220538361601397,OK,36.0,15.66890573501587,11.189619064331056,11.189619064331056,0.6250907597364793,-1.9699515574962536,0.3969870979200907,22.57843199033997,11.089129473712015,-0.2816312080193118,16.565441894531272,-0.0949696970470969,26.36661376953128,0.2169747236624192,0.1407875641633806,2.8949519634246825,-0.0679312269392884,7.391825271877846e-05,0.5540852594041911,9.5982679727896e-05,1,1,6.155601430450926e-05,0.3430378439787934,6.733759095387889e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"Wheat, durum",0
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2013,0.2513652797814269,1,1,0.1709908788018316,0.5220538361601397,OK,36.0,15.66890573501587,11.189619064331056,11.189619064331056,0.6250907597364793,-1.9699515574962536,-1.818516632458362,21.103587063876088,9.395212624289796,-0.6043137271741063,15.676727294921898,0.1740121844852542,23.945016479492203,0.2169747236624192,0.1407875641633806,2.8949519634246825,-0.0679312269392884,-2.471223907564666e-05,0.5006529348649329,-1.204110557600908e-05,1,1,-2.372925986822063e-05,0.3333322570058067,3.10272802387492e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"Wheat, durum",0
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2013,0.2513652797814269,1,1,0.1709908788018316,0.5220538361601397,OK,36.0,15.66890573501587,11.189619064331056,11.189619064331056,0.6250907597364793,-1.9699515574962536,-1.818516632458362,21.103587063876088,9.395212624289796,-0.6043137271741063,15.676727294921898,0.1740121844852542,23.945016479492203,0.2169747236624192,0.1407875641633806,2.8949519634246825,-0.0679312269392884,7.391825271877846e-05,0.5540852594041911,9.5982679727896e-05,1,1,6.155601430450926e-05,0.3430378439787934,6.733759095387889e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"Wheat, durum",0
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2014,-1.0339366269673849,1,1,-1.113625836267512,-0.6736406885516354,OK,0.0,0.0,11.473726272583008,11.473726272583008,-0.3322678925231085,-1.1532058036360573,1.2802906873588364,23.115381519214548,11.815539880701037,0.0671479813328483,16.40802154541018,-0.0949696970470969,26.507049560546896,0.2169747236624192,0.1407875641633806,2.8949519634246825,-0.0679312269392884,3.319241834068153e-05,0.5320223459984855,-0.00011996721320759844,1,1,-5.746951154664289e-05,0.2734214946504472,-9.474772606827944e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"Wheat, durum",0
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2014,-1.0339366269673849,1,1,-1.113625836267512,-0.6736406885516354,OK,0.0,0.0,11.473726272583008,11.473726272583008,-0.3322678925231085,-1.1532058036360573,1.2802906873588364,23.115381519214548,11.815539880701037,0.0671479813328483,16.40802154541018,-0.0949696970470969,26.507049560546896,0.2169747236624192,0.1407875641633806,2.8949519634246825,-0.0679312269392884,0.00011907492386920078,0.5785485451906085,6.800598658885188e-05,1,1,5.135214300390184e-05,0.3122478654380206,-4.00735688250364e-06,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"Wheat, durum",0
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2014,-1.0339366269673849,1,1,-1.113625836267512,-0.6736406885516354,OK,0.0,0.0,11.473726272583008,11.473726272583008,-0.3322678925231085,-1.1532058036360573,-1.022039350345258,21.26465037952772,10.373324446244697,-0.5848901236857175,16.428132629394554,0.1740121844852542,24.911441040039087,0.2169747236624192,0.1407875641633806,2.8949519634246825,-0.0679312269392884,3.319241834068153e-05,0.5320223459984855,-0.00011996721320759844,1,1,-5.746951154664289e-05,0.2734214946504472,-9.474772606827944e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"Wheat, durum",0
7c4a7c99-436a-4ad3-93eb-75a098246cc0,2014,-1.0339366269673849,1,1,-1.113625836267512,-0.6736406885516354,OK,0.0,0.0,11.473726272583008,11.473726272583008,-0.3322678925231085,-1.1532058036360573,-1.022039350345258,21.26465037952772,10.373324446244697,-0.5848901236857175,16.428132629394554,0.1740121844852542,24.911441040039087,0.2169747236624192,0.1407875641633806,2.8949519634246825,-0.0679312269392884,0.00011907492386920078,0.5785485451906085,6.800598658885188e-05,1,1,5.135214300390184e-05,0.3122478654380206,-4.00735688250364e-06,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"Wheat, durum",0
